Start Time,Sortname,Location,CaO_AVG,SiO2_AVG,Al2O3_AVG,Fe2O3_AVG,MgO_AVG,NO.SO3.P_AVG,Na2O.P_AVG,K2O.P_AVG,TiO2_AVG,P2O5_AVG,Mn2O3_AVG,Cl_AVG,Cr2O3_AVG,LOI.P_AVG,NO.R45_AVG,WC_AVG,WR_AVG,SETINI_AVG,SETFIN_AVG,FLOW_AVG,R1,R3
2019-02-16 00:00:00,BOYT1,NO.563.d,51.271999,26.723,4.842,2.7477,0.7008,2.3242,0.09,0.8068,0.3172,0.2843,0.0506,0.0096,0.0073,10.44,14.4,54.049999,25.23,144,249,108.0,5.34,12.63
2019-02-16 00:00:00,ESP+,NO.630.d,60.9893,23.4027,5.1857,3.2274,0.7741,2.5034,0.0684,0.7918,0.3018,0.3373,0.0556,0.0048,0.0076,1.53,1.121,49.32,26.0,109,206,109.0,17.16,30.280001
2019-02-18 00:00:00,BOYT1,NO.563.d,52.435398,24.4167,4.9556,2.7179,0.6936,2.2611,0.0798,0.8281,0.3017,0.2902,0.0499,0.0094,0.008,11.0,14.8,54.32,24.0,131,245,114.0,5.24,12.69
2019-02-19 00:00:00,ESP2,NO.630.d,60.6852,22.495199,5.1446,3.2309,0.8431,2.4716,0.0877,0.793,0.3073,0.338,0.1018,0.0053,0.0086,3.51,2.43,51.080002,26.77,108,183,110.0,14.8,30.4
2019-02-20 00:00:00,ESP2,NO.561.d,60.3763,22.1775,4.937,3.1695,0.7982,2.3621,0.0803,0.6676,0.2962,0.3488,0.0595,-0.0027,0.0075,3.39,3.08,51.619999,27.85,107,165,111.0,14.24,30.22
2019-02-21 00:00:00,ESP+,NO.630.d,61.887199,22.6113,5.2962,3.305,0.7784,2.3532,0.1032,0.8187,0.3027,0.374,0.0597,0.0071,0.0082,1.53,1.16,50.27,26.309999,95,170,109.0,14.0,28.43
2019-02-21 00:00:00,ESP2,NO.630.d,60.7985,22.549999,4.9842,3.2307,0.8122,2.4884,0.11,0.7577,0.3053,0.3503,0.0602,0.0043,0.008,3.72,2.71,51.080002,26.77,103,170,111.0,14.77,30.1
2019-02-22 00:00:00,ESP2,NO.563.d,59.8429,23.5774,5.1844,3.2444,0.7724,2.3205,0.1136,0.823,0.3055,0.3329,0.0582,0.0068,0.0085,4.3,1.06,51.080002,26.15,126,208,110.0,14.11,27.43
2019-02-23 00:00:00,ESP+,NO.630.d,59.521599,23.1446,5.347,3.394,0.8047,2.4411,0.1112,0.8132,0.3057,0.3591,0.0599,0.0022,0.0073,1.54,0.92,50.0,26.309999,105,188,114.0,13.74,28.48
2019-02-23 00:00:00,ESP2,NO.630.d,59.3839,22.4739,4.9932,3.1274,0.7932,2.3632,0.1172,0.7199,0.2936,0.3249,0.0741,-0.0006,0.0079,3.89,2.27,51.080002,26.309999,102,190,114.0,13.66,29.09
2019-02-24 00:00:00,BOYT1,NO.563.d,50.574699,27.002701,4.9615,2.7322,0.7139,2.1728,0.1166,0.8673,0.3231,0.2954,0.0507,0.0137,0.0095,9.68,12.55,53.110001,25.540001,148,225,106.0,5.58,13.42
2019-02-25 00:00:00,ESP+,NO.630.d,62.6675,23.0812,5.2993,3.4173,0.8039,2.5027,0.124,0.8119,0.2905,0.3513,0.0612,0.0095,0.0067,1.57,0.9,48.92,26.15,105,180,106.0,18.26,32.130001
2019-02-25 00:00:00,ESP2,NO.563.d,62.089996,22.669901,5.1031,3.4472,0.6077,0.7526,0.0946,0.6828,0.2886,0.3735,0.0534,0.0017,0.0069,4.1,1.09,50.0,26.15,119,200,105.0,13.61,31.059999
2019-02-26 00:00:00,BOYT1,NO.563.d,50.7374,26.520901,4.7695,2.663,0.6941,2.2158,0.0905,0.8131,0.3102,0.2875,0.05,0.0198,0.0079,10.51,12.19,53.509998,26.0,158,225,110.0,5.79,13.26
2019-02-27 00:00:00,ESP+,NO.630.d,61.657902,23.008699,5.1528,3.3339,0.7852,2.3495,0.1224,0.7999,0.2984,0.3553,0.0598,0.0072,0.0064,1.49,1.01,49.459999,24.459999,105,174,110.0,16.91,30.49
2019-02-27 00:00:00,ESP2,NO.561.d,60.1076,22.2701,5.0929,3.1914,0.7935,2.3806,0.1037,0.8268,0.2969,0.3391,0.0577,0.0063,0.0084,3.74,2.77,50.540001,27.690001,102,220,107.0,15.7,28.51
2019-03-01 00:00:00,ESP+,NO.630.d,62.337299,23.345699,4.9048,3.3249,0.7846,2.3599,0.0985,0.7863,0.3062,0.3419,0.0567,0.0011,0.0059,1.52,0.96,48.919998,25.690001,112,194,109.0,17.219999,30.190001
2019-03-02 00:00:00,ESP+,NO.630.d,62.1464,23.314899,4.8924,3.2897,0.7804,2.4287,0.0831,0.8044,0.3074,0.3338,0.0581,0.0048,0.0051,1.5,0.79,48.779999,25.690001,113,197,106.0,17.049999,30.299999
2019-03-03 00:00:00,BOYT1,NO.563.d,50.813,26.9802,4.9927,2.7224,0.7088,2.2602,0.0721,0.89,0.3298,0.2875,0.0542,0.0135,0.007,10.0,12.73,53.380001,25.379999,169,274,109.0,5.96,12.46
